FirstName,Surname,Gender
Eshani,Mandal,Female
Warisha,Roychowdhury,Female
Namita,Lodh,Female
Farhanul,Karmakar,Male
Kaberi,Ray,Female
Nabamita,Sheikh,Female
Chandan,Das,Male
Qayum,Naskar,Male
Ritwik,Sinha,Male
Tithi,Khan,Female
Dibakar,Khan,Male
Debjit,Karmakar,Male
Animesh,Banerji,Male
Palash,Poddar,Male
Indrani,Dutta,Female
Goutam,Sikdar,Male
Tapas,Munshi,Male
Pihu,Halder,Female
Animesh,Sheikh,Male
Manas,Kar,Male
Ranjit,Ghosh,Male
Quadir,Basak,Male
Laxmi,Khan,Female
Sweta,Majumdar,Female
Soma,Chakraborty,Female
Swapan,DuttaChoudhury,Male
Tithi,Ganguly,Female
Madhuri,Sikdar,Female
Pritha,Mazumdar,Female
Koyel,Gazi,Female
Indranil,Das,Male
Kajal,Bandyopadhyay,Female
Sudip,Mazumder,Male
Jayanta,Khan,Male
Eshani,Mitra,Female
Ishita,Majumdar,Female
Nabamita,Dey,Female
Yasmin,Jana,Female
Ipsita,Halder,Female
Jaya,Mandal,Female
Manas,Bhattacharya,Male
Yogesh,Ganguly,Male
Ishaan,Das,Male
Qasim,Talukdar,Male
Harsha,Lodh,Female
Tapas,Basak,Male
Jayanta,Sengupta,Male
Niladri,Biswas,Male
Dwij,Jana,Male
Oishee,Bagchi,Female
Jayanta,Chowdhury,Male
Vikram,Bandyopadhyay,Male
Gargi,Datta,Female
Dibakar,Mitra,Male
Namita,Pal,Female
Debjit,Pal,Male
Subhash,Barik,Male
Himadri,Sekhar,Male
Koyel,Nandi,Female
Jharna,Khan,Female
Laxmi,Karmakar,Female
Warisha,Chowdhury,Female
Naina,Ray,Female
Mrinmoy,Roychowdhury,Male
Manoj,Dey,Male
Rimi,Malakar,Female
Chandan,Bhattacharjee,Male
Liton,Barua,Male
Koyel,Bhowmik,Female
Farida,Ray,Female
Nabamita,Rahman,Female
Lipika,Karmakar,Female
Esha,Koley,Female
Purnima,Khan,Female
Tanmay,Poddar,Male
Madhumita,Ghosh,Female
Tuhina,Basak,Female
Aritra,Bhattacharjee,Male
Liton,Chakravarty,Male
Tithi,Karmakar,Female
Liton,Deb,Male
Nikhil,Sekhar,Male
Niladri,Bhowmik,Male
Hiranmay,Bagchi,Male
Deep,Sengupta,Male
Mithun,Bhowmik,Male
Himadri,Malakar,Male
Ishaan,Kundu,Male
Upoma,Koley,Female
Debasis,Malakar,Male
Elina,Mukherjee,Female
Nabaneeta,Koley,Female
Animesh,Munshi,Male
Manoj,Khatun,Male
Wahid,Sen,Male
Arpan,Hossain,Male
Wahid,Dey,Male
Kaberi,Chowdhury,Female
Madhuri,Bagchi,Female
Mithun,DuttaChoudhury,Male
Farhan,Kar,Male
Hiranmay,Ghosh,Male
Nabamita,Biswas,Female
Wasim,Sekhar,Male
Tumpa,Saha,Female
Komal,Koley,Female
Dwaipayan,Bhuiyan,Male
Payel,Bera,Female
Tanmay,Sheikh,Male
Warisha,Mandal,Female
Liton,Kar,Male
Lipika,SenGupta,Female
Tushar,Sultana,Male
Oishee,Chakma,Female
Hiranmay,Mukherjee,Male
Koyel,Sekhar,Female
Rupam,Munshi,Male
Wahid,Talukdar,Male
Harsha,Paul,Female
Sweta,Mazumder,Female
